name
Ghanshyam Rohera
Kaushik Satish
Dilip Keshav Mukhariya
Bhabhani Prasad
Lovely Singh
Bharath Niwas
Y.G. Mahendran
Sonali Kulkarni
C.V. Rajendran
Master Shahid
Mahender Kumar
Avinash Dhyani
Pankaj Sharma
Aman Kureshi
Hemant
Harish Bhimani
Waluscha De Sousa
Vijay Singh
Mallika Nayyar
Vedi
Madhuri Bhagwat
Shivani Raghuvanshi
Krishang Trivedi
Champak Lal
B.H. Tharun Kumar
Suhali
Bindu Shukla
Jacob Paul
Tanmoy Roy
Atul Agnihotri
Vikaram Naroo
Nasir Khan
Rajat Kaul
Sanyukta Timsina
Rafi Peer
Abhishek Chhadha
Rajasekar
Masood Ali
Purva Bedi
Deepak Bhatia
Vijay Shankar Sharma
Karan Aanand
Ram Nagarkar
Azaad Irani
Geeta Kak
Danish Husain
Naresh Vohra
Chand Ansari
Samir Karnik
Virendra Sharma
Girish Malik
Sharad Desai
Vikaas Kalantari
Gravit Bharadwaj
Yash Naik
Ratan Gaurang
Kamal Bhatia
Kristian Hedegaard-Petersen
Vetri Nageshwar
Aaryaan Saxena
Sanghamitra Chaudhuri
Geetanjali Kulkarni
Subramanya Kini
Muzahid Khan
Om Shakti Jagdishan
Yusuf Naqvi
Ranjit Jog
Gummadi Lingamurthy
Yuvradnyee
Menekka Arora
Geeta Bisht
Sanaya Pithawalla
Bhushan Insan
Madhukar Bavdekar
Pappu Palviendra
Rajveer Singh
Soman
Star:Shekhar Suman
Hardik Kapadia
Shekhar Bhonsle
Abhishek Bardia
Sukhbir Kang
Nevenita
S.R. Puttana Kanagal
Nazar Khan
Anton Jacobsson
Soham Shah
Sarwar Ahuja
Sezal Sharma
Siddharth Sharma
Biswajeet Bora
Saranya Ponvannan
Prashant Walde
Sumeet Saigal
Robin Majumdar
Shreeram Lagoo
Siddharth Bhardwaj
Surya Trivedi
M. Madhusudhana Rao
Sabir
Atul Agarrwal
Trinayan Sharma
Shubham Singh
Yogesh Raj Mishra
Anahita Bhooshan
Randhir Singh
Arun
Vandana Seth
Sulbha Kataria
Sourabh
Mohnish Nawani
Soumitra Chatterjee
Tanya Oberoi
Jayaprakash Reddy
Chandra Mohan
Star:M.S. Subbalakshmi
Gulzar Bhatia
Ravi Verma
Gurukiran
Zeena Bhatia
Subhasish Ghosh
Mehroo
Ashok Kohli
Sahil Phull
Amit Mitra
Star:Sabrina Schaumburg
Ritika Punjabi
Hari Prasad Reddy
Rajesh Nanda
Pradeep Khanna
Priya Gill
Gyanesh Mukherjee
Jaswant Saggo Jas
Ekaansh Bhaardwaaj
Nirosha
Kishor Nadalskar
B. Krishna Rao
Honeypreet Insan
Anders Jacobsson
Nitin
Neha Mishra
Salim Aziz Durrani
Adil Feroz Khan
Lucy Aarden
Shyam Benegal
Ajita Suchitra Veera
Rani Chatterjee
Smita Malhotra
Meraj
Dhruv Kumar
Rohan Bongale
Jasmine D'Souza
Dinesh Saxena
Sushmita Sen
Rhea Chakraborty
Aniruddh Dave
Gul Bahar Singh
Rishikesh Raj
Priyanka Sharma
Harshvardhan Deo
Deepak Jethi
Balwinder Dhaliwal
Reema Rakesh Nath
Abhimanyu Mishra
Star:Imran Zahid
Makarand Anaspure
Menaka Lalwani
Hemanth Kumar
Tamannaah Bhatia
Garima Rastogi
Gauahar Khan
P. Venu
K. Gopal Krishnan
Bramhaswaroop Mishra
Mehmood
Aamir
Goutam Ghose
Sudarshan Nag
Rucha Gujrati
Sameer Chandra
Murali
Shobha Rani
Vikrant Singh
Santosh Kaushik
Krutik Patel
Deo Prakash Pandey
Harshavardhan Kulkarni
Kajal
Sanket Verma
Marc Zuber
Terry Moore
Kanahiyalal
Praveen Kumar Sobti
Sadiq Ali
Banita Sandhu
Rashmi Anand
Satyanand Gaitonde
Raghuvardhan Garlapati
Star:Sapna Sappu
Anurag Arora
Preet Kaur Madhan
Prabu Solomon
Himanshu Sharma
Rajkumar Kanuji
Jigna Bhardwaj
Sardar Sohi
Anjana Sukhani
Karan Kandhari
Mahmood Farooqui
Keisha Rawat
Uda
Ruchika
Priyanka Agarwal
Anji Naidu-Khan
Sukumar Nair
Nilofer Khan
Akshay Prem Vyas
Ushma Rathod
Humaima Malik
Jaidev Chakraborty
Star:Sridhar Dubey
Ashok Nanda
Prateek Pachauri
Shaker
Arav Aryavanshi
Sonal Giani
Arnab Chaudhuri
Sidhaant Kapoor
Star:Ashwini Malik
Piyush Alankar
Priyesh Srivastava
Shree Radhe Khanduja
Rahul Joshi
Rajat Bhalla
Vishwajeet Soni
Maqbool Khan
Prashantt Guptha
Dev Gohar
Ravi Patil
Arjun Bakshi
Nayam Palli
Rudhraksh Jaiswal
Vishal Mahadkar
Basant Josalkar
Sweta
Manjot Singh
Doddanna
Amarjeet Kumar
Poonam Kaur
Mark Zubair
Zafar Anjum
Kumar Hegde
Ravi Khanna
Farrah Kader
Subhi Raaj
Ved Prakash
Juhi Chawla
Ahan Shetty
Aarti Chhabria
Tirlok Malik
Faraaz Khan
Anil Khanna
Vikas Bhalla
Balmukund Tripathi
Arjumman Mughal
Star:Uma Maheshwari
Baadal
Robbie Grewal
Subroto Paul
Rajpal Naurang Yadav
Sunny Bhambhani
Daisy Bopanna
Akram Khan
Kadambari Kadam
Bobby Darling
Trisha Kale
Shanta Rin
Guddi Maruti
Lalu Alex
Uday Shinde
Aarti S. Bagdi
Aami Patel
Binod Pradhan
Sayed Gul
Saurrabh Kushwaha
Ambika
Swastika Mukherjee
Karisma Kapoor
Jae Sing
Harsh Chauhan
Murad
Samir Aftab
Pankaj Saraswat
Pranshu Shrivastav
Syed Noor
Shubhankar Das
John Cawas
Raj Bharti
Star:Manoj Chandra
Manoj Thakkar
Mukul Verma
Brian Dawson
Babubhai Mistry
Sonya Jehan
Anaika Soti
Star:Chandrika
Shreya Tyagi
Sandeep Vyas
Sikandar Kureshi
Manobala
Narendra Gupta
Probir Roy
Iqbal Channa
Sanjeev Sharma Ronkel
Milind Gadagkar
Sumit Nijhawan
Venkatesh Chavan
Nitin Kumar
Shweta Basu Prasad
Milan Luthria
Prashant Gore
Nirmala
R. Pandiaraajan
Arunoday Singh
Banty Dubey
Manish Robin
Samson
Romina Barbar
Ashish Sahdev
Mukesh Jadhav
Ibra Khan
Rajeev Siddhartha
Md. Faiz Alam
Khatun
Himani
Ajay Goel
Leela
Sunil Sukthankar
Ayub Khan
Shubham Tukaram
Anu Dhawan
Kavita
Brij Naqta
Sanjeev Soni
Sanjay Khandelwal
S.B. Nayampalli
Star:Kangana Ranaut
Manish Pandya
Nitu Chandra
Rohit Saraf
Kumar Saahil
Rohit Bhutani
Ankush Chaudhari
Jay Thakur
N. Sinha
Saiman Says
Sanjeev Sharma
Alka Amin
Kyra Dutt
Vijay Krishna Acharya
Alex Lucchesi
Apache Indian
Debu Sen
Chitnis
Mohibul Haque
Vahini
Amar
Hemant Desai
Ajay Kaurav
Shiirshak S. Anand
Najam Naqvi
Kodi Ramakrishna
Harish Sharma
Saudagar Singh
Ram Pratap Sharma
Kiran Ramsay
Raman Khanna
Sanjay Shejwal
Mahesh Kothare
Rajendra Sharma
Star:Bipin Gupta
Rajeev Jhaveri
Dilip Sood
T.G. Ravi
Supriya Choudhury
Mukteshwara Ojha
Shehzad Alam
Ranbir Pushp
Pragya Jaiswal
Shiva
Parveen Dagar
Karanvir Sharma
Tun Tun
Harsh Chhaya
Lamira Faro
Bappaditya Bandopadhyay
Jass Boparai
Kanwarjeet Paintal
Sadan Hazarika
Mehmood Jr.
Rinky Ali
Amit Pandey
Rajbeer Singh
Abhinav Kumar
Yash Chouhan
S.P. Muneshwar
Niddhish Puuzhakkal
Shayam Rai
Aanuj Tewari
Tanvir Ahmed
Surjeet Kaur
Anil Bajpai
Satiiysh Saarathy Sasho
Gautam Siddhartha
M. Parvez
Akshat Jain
Anuj Jain
Vennila Sopna
Madan
Monal Gajjar
Renzil D'Silva
Chandramogli Madem
Sanoj R. Mishra
Kanta Rao
B.K. Singh
Suvahhdan Angre
Farha Khan
Hempushpak Arora
Reecha Sinha
Hithaishaini
Sharad Babu
Jayashree
Jayant
Baby Guddi
Aarthi Agarwal
Deepak Pawar
Star:Pritish Chakraborty
Sabina Malik
Mishti
Vineet Kumar Singh
Akash Pandey
Pandit Bhalchandra
Ajitesh Bannerjee
Cyprus Dastoor
Joseph Thaliyath Jr.
Vishal Aryan Singh
Aadil Khan
Janardhana Rao Arja
Mukesh Bhatt
Lalit Jogi
Steven a Dsouza
Praveen Damle
Srijit Mukherji
G.K. Mehta
Lernert Engelberts
Clive Standen
Shiva Dagar
Devendra Bhagat
Akhtar Khan
Abhigna Mehta
Donald Burman
Lushin Dubey
Bina Rai
Anupriya Goenka
Mishra Sumit
Balaji Iyer
S.M. Raza
H. Dinesh
Jashan Singh Kohli
Vishwa Naidu
Prakash Nambiar
S.M. Nawab
Melissa Biggs
Anil Kapoor
Mohnish Bahl
B.K. Malhotra
Vijay Raaz
Kriti Sanon
Nayan Tara
Sandeep Tiwari
Kulwant Kaur Bhatia
Diya Chakraborty
Peeya Rai Chowdhary
Sandeep Bhatt
Aruna
Shigeo Koshi
Nisarg Trivedi
Armaan Kabli
Shobharaj
Arman Kohli
Abhishek Raj Pandey
Zareena Tripathi
Chandrima Bhaduri
Satyadev Dubey
Ruchitha Prasad
Anjana Basu
Harry Key
Sanjiv Trigunayat
Subhash Ghai
Ravindra Gautam
Prem Chabra
Prabal Baruah
Todd Howard
Sheetal
Rohit Jugraj
Bharat Thakkar
Ali Shah
Kamna Singh Chandel
Darshana Banik
Shaurya Chauhan
Kamala Kotnis
Komilla Virk
Star:Varalakshmi G.
Amriena
Sonali Sharmistha Mohanty
Pughalmani
Shree Bhagwan
Devanshu Singh
Chandrakant Gokhale
Mahmood Hashmi
Sadika Swarna
Tigmanshu Dhulia
Anjaan
Mansi Dovhal
N. Kabir
Star:Sohini Mukherjee Roy
Raju Chouhan
Arvind
Mala Aravindan
Nikhil Bansal
Abeer Abhyankar
Kiran Misher
Shweta Bawa
Victor Banerjee
Gayatri Joshi
Sidharth Srinivasan
Jaya Bachchan
Sulagna Panigrahi
C.S. Dubey
N.V. Deshpande
Star:Mammootty
Puja Jha
Zubeida
Bijal Joshi
Anku Parashar
Krystle D'Souza
Rajendra Nath Shukla
Sid Bhagvathula
Laxman Singh
Ayaan Khan
Shrabani Deodhar
Arjun Singh
Haripriya
Dhruti N
Manohar Deepak
Tabassum Govil
Dhanraj
Loksen Lalvani
V.C. Desai
G. Rakesh
Dipti Verma
Vishal Mishra
Anshai Lal
Kamal Zamindar
Vanya
Karan Johar
Ravi Omprakash Rao
Pallavi Sharda
Rajesh Hans
Husn Banu
Jahnu Barua
Keshto Mukherjee
Meena Rai
Deepak Antani
Jasbir Bijender Bhati
Shantilal Soni
Aishwarya Chowbe
Nitin Bhatia
Vijay Kumar Mishra
Divyendu Sharma
Gulshan Pandey
Andrea Tariang
Bindiya Goswami
K.S. Sethumadhavan
Sohanlal Kanwar
Priyanka Kothari
Yadhakrishan
Harsh Rajendra Rane
Ankita Bahuguna
Rajesh Butalia
Faredoon A. Irani
Pramod Bala
Nathan Jones
Jag Mundhra
Vinil Mathew
Gaurav Dixit
Edilsy Vargas
Dean Alexandrou
Saksham Dayma
Rosauro Adorable
Vijay Chauhan
Ayush Upadhyay
I.V. Sasi
Disco Shanti
Ankush Deshmukh
Padmini
Vidushi Mehra
Aanchal Singh
Rajiv Singh
R. Krishnan
Manoj Kolhatkar
Anil Kumar
Murtaza Changezi
Vicky Sharma
Aniruddh Agarwal
Kislay
Piyush Ranade
Vandana Lalwani
Simran Sharma
Kaushik Das
Sammir i Patel
Kishan Shah
Mayank Tewari
Aanand Raut
Mili Bose
Boloram Das
Deekshit Kaul
Nilxen
Mohit Chaudhary
Shenaz Treasury
Star:Devaraj
Balwant Bhatt
S.S. Ravichandra
Kim
Shakur Sir
Dara Singh Randhawa
Naman Shaw
Karwarkar Bhavika
Indira Tiwari
Romesh Sharma
Yunus Sajawal
Hansika Motwani
Natalya Gudkova
Visant
Neenu Babu
Nupur Sharma
Aatish Kapadia
Sanchita
Lara Dutta
Ebadat Akram Dunia
Sev Anand
Rajendra Chauhan
Niyanta Acharya
Vinay Kale
Sharda Gupta
Lala Yaqoob
Arif Ali
Layakaa
Rajesh Tailang
Vikrant Massey
Gopi Sapru
Sumitra Bhave
S.K. Kapur
Aruna Shields
Rajendra Chawla
Navin Kankate
Adnan Choudhary
Sikandar Khanna
Vijay Kapoor
Sriramulu Naidu S.M.
Mohit Takalkar
Sherry Alhadad
Sowcar Janaki
Mukesh Saigal
Ashwini Agarwal
Bianca Desai
Manjul Kapoor
Ishaan Trivedi
Kanchan Rawal
Dilip Naik
Surendra Desai
Kirti Sharma
Armaan Sandhu
Dhumal
Arvind Raj
Brahmanand S. Singh
Nirbhay Shankar
Mukesh Agrohari
Farhana Fatema
Raima Sen
Kapil Dev
Madhu Acharya
Anubhav Dhir
Manju Borah
Prince Khan
Masoom Shankar
Saurabh Varma
Baby Madhuri
Sheetal Thakur
Pramila Jysai
P. Madhavan
Akkineni Nageshwara Rao
Paul Mahendra
Amit Bhanushali
Star:Kayra R
Mohan Sulibhavi
Mangal Dhillon
Pavan Grover
Shrikant Ram
Kavita Lad
Gurpreet Singh
Sachendra Choubey
Shivraj
Rajasulochana
Star:Rachit Jadoun
Nikunj Malik
Harshada Khanvilkar
Shubhendra Pal
Nishant Malkani
Rudolph Maté
Homi Adajania
Damini Kanwal Shetty
Madhubala
Priyamani
Pankaz Singh Tanwar
Mukesh Chandella
Dinero Ash
Salmin Sheriff
Rajat Rawail
Kuldip Singh Khalsa
Raja Sen
Varsha Manikchand Shrivastav
Vishesh Khanna
M.N. Rajam
Vibha Anand
Moon Moon Sen
Raghuvir Kul
Ajay Pannalal
Sagarika Ghatge
K.V. Shanthi
Ramesh Diwedi
Sunil Barve
Rakesh Pandey
Anay
Punit Chhabra
Puneet Sikka
Yeshwant Pethkar
Lakshmi Kanta
Jividha Sharma
Kamal
Farogh Siddique
Rakesh Hans
Sudipto Chattopadhyay
Shimit Amin
Nitin Bhardwaj
Asha Mehra
Anthony Morse
Jaishal Rathore
Rohan Jadhav
Satyen Bose
Aushim Khetarpal
Kimsa Sok
Marion Rodrigues
Siddique
Mithun Ramdharne
Yoggitta Dandaykar
S.M. Kumaresan
Laxman Dawbhat
Siddharth
Suchada Poonpattanasuk
Ritika De
Aditya Jain
Poonam Jhawer
Nasreen
Sayeem Afran
Rahul V. Chittella
Aparshakti Khurana
Natasha Fernandez
Tanima Bhattacharya
Nisha Lalwani
Satram Ramani
Rakhi Chauhan Mehta
Sabitri Heisnam
Sharvani Suryavanshi
Sandeep A. Varma
Kesar Matharu
Adarsh Gourav
Natalia Kapchuk
Vinod Dewan
Tanushri Chattrji Bassu
Maithili Zaokar
Sonia Sharma
Huma Qureshi
Mohit Tripathi
Koganti
Kitu Gidwani
Shyam Gajwani
Ridhi Jugran
Ajay Jayanthi
Kamal Kapoor
Nanasaheb Phatak
Bhargavi
Singh Sahab
Abbas Khan
Preeti Rana
Karthika
Richa Sharma
Ismail Memon
Shashank Jain
Surendra Kumar Bohra
Dolly Bindra
Cait Alexander
Emma Chaibedra
Abhay Bakshi
Ajit Vachani
Amulaya
S.S. Stanley
Kayoze Irani
Sumbul Gazi
Tapti Bhatachrjee
Rajeev Vashishth
Chitrak Bandyopadhyay
Rohit Vijay Bapat
Ajay Jain
Fahad Siddique
Pranathi
Payel Sarkar
Manish Harishankar
Arun Kaul
Agasthya Manju
Sakshi Singh
Shamim Akbarali
Vaishnavi Kadam
Janardhan Chowdary
V. Krishna Kumar
Atisha Furtado
Niraj
Nisar Ahmad Ansari
Nilanjana Bhattacharya
Parth Dave
Nalin Dave
Master Sushobhan
Ranga Nath
Sadashivam Rao
Krishna Devi
Akshay Kumar
H. Rajhans
Kumar Amlendu
Jay Pathak
Rajiv Dhingra
Preksha Mehta
Suraj Chitre
Urvashi
Rohit Arora
Hitesh Sampat
Budasaheb
Ashwini Kalsekar
Poonam Dasgupta
Priya Annatram
Niraj Sharma
Sanjay Mitra
Natalya Llina
Suparn Varma
Srishti Shrivastava
Siddique Durrani
Master Makrand
Nanubhai Vakil
Samiksha Bhatt
S.U. Sunny
Swaroop Kanchi
Madhukar
Harish Kumar Kundra
Nihal
Prabhleen Sandhu
Star:Samiksha Bhatt
Aanchal Sabharwal
Rakesh Nahata
Manager Cheena
Maaman Memon
Mohsin Bhatt
Gautam Verma
Arhaan Derby
Rahat
Guru Dutt
Ketki Dave
Vijaya Nirmala
Jyoti Bakshi
Jayshree
P Chandra Mohan
Shatrughan Sinha
Jayamala
Sharat Katariya
Deepak Shankar
Robin Ghai
Mitsuru Hongo
Rajkumar Kanojia
Rajiv Rai
Nareshpal Singh Chouhan
Aashit Chatterjee
Harindranath Chattopadhyay
Swamy V.S.R.
Rajanika
Bhagwan Tiwari
Shridhar Prasad
Manav Bhalla
Aungchuk
Vivek Sharma
Manuj Bhaskar
Barkha Sen Gupta
Ashmit Patel
Shailendra Singh
Julie Tejwani
Arjun Bali
Bijaya Jena
Shakti Samanta
Sushil Rajpal
Anmol Khatri
Prathapachandran
Vinay Chauhan
Ayden Mekus
Jagdish Sethi
Ashish R. Shukla
Harshas Bhanushali
Trisha Krishnan
Dharmavarapu Subramanyam
Stanley D'Costa
Sanskkriti Jain
Hemchandra Chunder
S. Narayan
Hidayat Khan
Vasudeva Girimaji
Ganesh Loke
Anshul Chobey
Sheetal Menon
Swagata Naik
Neelima Azim
Inder Labana
Naveen Kasturia
Divya Dwivedi
Anita Dutt
Kalpana Bhardwaj
Satchit Puranik
Munir Khan
Rakesh Palisetty
Kenneth Desai
Vicky Bhardwaj
Raj Rajawat
Chandi Perera
Vani Ganpati
Gaurav Madan
Rajendra Gupta Sanjay
Tomokazu Seki
Shruti Agarwal
Arvind Maurya
Datta Jadhav
Vinod Vyas
Sameer Khakhar
Kumud Damle
Mahavir Shah
Govind Nihalani
Vimal Kumar
Adil Ahamad
Sandeep Yadav
Munesh Nehra
Bingkun Cao
Mukesh Agarwal
Amrik Shrivastav
Shefali Bhushan
Ketaki Narayan
Shikha Itkan
Sanam Bakshi
S. Manasvi
Suresh Dutta
Koena Mitra
Gurbachan Singh
Vijay Prateek
Rajiv Ranjan
A. Veerappan
Ali G.
Pushkar Mahabal
Kulbhushan Kharbanda
Master Jhang
Suma Anand Ras
Jatin Malhotra
Kanyalata Panchal
Faruk Kabir
Apurba Kishore Bir
Annu Kapoor
Mayur Mehta
Rahul Dahiya
Rakesh Kumar
T.R. Sundaram
Prakash Raj
Arjun Fauzdar
M.R. Radha
Deeksha Joshi
Nikitin Dheer
Sanjay Dutt
Anita Date-Kelkar
Brij Gopal
Darshan
Pandari Bai
Karan Sharma
Sharokh Bharucha
Priya Arun Berde
Anuj Choudhry
Ajith Kumar
Balakrishnan Thevar
Ashfaq
Vibhav Roy
Vishal Malhotra
Pawan k Shrivastava
Aishwarya
Ankita Parihar
Shalini Chandran
Tonje Gjevjon
Rahul Ranade
Aditya Agnihotri
Gopireddy Mallikarjuna Reddy
Ramesh Chahal
Mahesh Chandra Deva
Mayank Agarwal
Parshva Dhariwal
Shilpa Tulaskar
Abhishek Pathak
Joy Sengupta
Sameer Kapoor
M. Sadiq
Anadinath Bannerjee
Garriema Shah
Krishna Soneji
Hadi ali Abar
Madhu Malhotra
Kevin Mukherji
Sandeepa Dhar
Vijay Aidasani
Barbara Heels
Bashkar
Rajni Katiyar
Rik Aby
Avinash Baviskar
Megh Pant
Rudra Tiwari
Utkarsh Sharma
Sekhar Surya
Star:Divya Bharti
Soham Maitra
Aditi Inamdar
Babu Raje
Ali Zafar
Aanchal Malhotra
Salim
Gaurav Lavaniya
Dipti
A. Venkatesh
Ram Sethi
Amit Goel
Peter Pedrero
Armaan Jain
Ashwini Malik
Ritesh
Raghuram
Sandeep Kapur
Savitri
Shanti Kumar
Pooja Singh
Sudhanshu Mohan
Huma Khan
Jitender
S.H. Tharani
Ratna Baburao
Prithviraj Kapoor
Nabyendu Chatterjee
Prashant Nair
Shyam
Manmohan Desai
Anil Dhanda
Ajay Arak
Anwar Ali
Niyati Joshi
Mama
Rahul Ranjan
Arvind C. Jadeja
Sanjiv Chopra
Bullet Prakash
Trivikram Srinivas
Candice Pereira
Shailendra Pandey
Leena Yadav
Anaitha Nair
Sharwanand
Ganpati Bohra
Saurabh Malik
Akksar Allahabadi
Gulshan
Raogopalrao
P. Sharma
Canelle Hoppe
Attin Bhalla
Hemavaishnave
Sudhir Dalvi
Yogesh Bali
Ashish Aryan
Mandy Gill
Boney Kapoor
S.S. Dharwadkar
Sandeep Chatterjee
Gulshan Rana
Sargam
Lalitesh
Ayush Allay
Diksha Basu
Swati Bakshi
Palomi Ghosh
Jagbir Dahiya
Pankaj Kumar
Shezly
Visakh G S
Pooja Bharti
Sangeeta Bhonsale
Chum Darang
Pandya Manoj
Master Bharat
Abhinaya
Parijatha
Sanoj Mishra
Dinesh
Parmita Katkar
Vinit Bonde
P. Som Shekar
Ishaan Khattar
Rahul Sinha
Terrie Samundra
Vijayaraghavan
Master Fayaaz
Nirang Desai
Gopichand
Paras Arora
Nayan Bhatt
Atul Kale
Surinder Yadav
A. Nairang
Joshina
Shazia Malik
Brijeshkumar Jha
Piyush Gupta
Neha Pal Chowdhury
Deep Kumar
Hiralal
Mouni Roy
Sanjay Choudhary
Ravindra Kale
Kashyap Barbhaya
Natasha
Hunsur Krishnamurthy
Rajkapoor
Abhishek Paul
Kundan Kumar
Raphael Jose
Sadhana Khote
Brijesh Tiwari
Chitrapama
Shekhar Sirrinn
Prem Narayan Arora
Raushani Jaffrey
Nandita Thakur
S. Sharma
Priyanka Bose
Luv Ranjan
Rahul Pendkalkar
Nagma
Menaj
Beena
Anuj Tyagi
Vineet Kumar
Kapil Kaustubh Sharma
Rupesh Bane
B. Gupta
Prateek Saxena
Kalpana Pandit
Radhika Madan
Ranjitha
Jagdish Kamal
Shubhra Ghosh
Daljit Sean Singh
Asha Khan
Ajay Sinh Rathod
Chittajalu Pullayya
R. Mittal
Adyasha
Shazahn Padamsee
Simon Frenay
Himanshu Kohli
Jitendra Rai
Amitkumar Sharma
Kabir Sajid Shaikh
Anjana Trivedi
Natalia Janoszek
Raghav Rishi
Ameet Chana
Vendola
G.T.B. Harvey
Vinod Mehra
Prabhat Roy
Kshitij Joshi
Manoj Bakshi
Rupesh Charan Pahadi
Vijender Singh
Sharbani Mukherji
Aslam Bhatti
K.L. Saigal
Shantanu Arora
Ashwani Kumar
Florian Lukas
Chandrakant Kulkarni
Apurva Agnihotri
Teetu Verma
Amrish Puri
Rofique Khan
Dinesh Hingoo
Rajesh Mishra
Neet Chowdhary
Paro Devi
Salem Bahwan
Simi Garewal
Rachana
Shahbaz Khan
Serena Lorien
Deepak Suryavanshi
Jitendra Tiwari
Bengia Mala
Usha Jadhav
Ankita Shrivastav
Sreela Majumdar
Nilesh Dilshad
Monica Kale
Prabhat Kumar
Manjula
K.A. Narayan
Nitin Sethi
T.R. Raghunath
R. Bhattacharya
Dharmendra Gohil
Akshay Waghmare
Star:Megastar Maharishi Aazaad
Susheel Gajwani
Zaira Begg
Kr Venkatesh
Jeetu Arora
Shiv Chaudhary
Vijaya Bhanu
Purshottam Mulani
Shahrukh Sultan
Kumud Tripathi
Dulal Guha
Vishram Sawant
Geethu Mohandas
Star:Silk Smitha
Pinky Chinoy
Nithiin
Vicky Ahuja
Sarika Ahlawat
Nafisa Ali
Dolly Minhas
Rahul Khanna
Tamjeed Elahi Khan
Gurmeet Choudhary
Tarun Bhargawa
Upendra Trivedi
Rekha Purohit
Atul Mahajan
Renny Mascarenhas
Bhavik Thakore
Farheen
Sheikh Fattelal
Jayanta Mukherjee
Raj Kumar Gupta
Chirag Desgiri
Chand
Errol Peter Marks
Namrata Sawhney
Gautam
Manohar
Sagar Ballary
Sunila
Ayush Mahesh Khedekar
Samridh Acharya
Shree Ghatak
Elias Chowla
Ruby Mayer
Harsh Lunia
Gulab Mehta
Arhaan
Anima Pagare
Meena Shorey
Ashwari Dwivedi
Amisha Desai
Gaurav Bakshi
Gitanjali Sinha
Chaitanya Bhosle
Riya
Mandakini
Samar Khan
Sudhir Mishra
Anil Pandit
Menaka
Rajasree Rajakumari
Harjit Rick
Neil Bhoopalam
Yusuf Khan
Neha Singh
Tomas Sandquist
Ankur Bhatia
Namrata Shirodkar
Sohani
Aditi Dev Sharma
Parna Pethe
Hema
Eijaz Khan
Mittal Chouhan
Manoj Sharma
Kunal Kapoor
Siddharth Gupta
Manish Goel
Thomas Jacob
Aayush Shah
Bharat Bhushan Bhatt
Vimal Reddy
Star:Ishwarlal
Gurdeep Singh
Vardhan Puri
Daisy Irani
Ashwin Kaushal
Sonia Bindra
Arun Nalawade
Mohan T. Gehani
Krishnakant Pandya
Esshan Katara
Desh Mukherjee
Anamika
Shravani Goswami
Jawahar Jairath
Ashwini
V.P.G. Panicker
Faisal Sayed
Samadarshi Dutta
Rakesh Khanna
Santram Varma
Gajanan Jagirdar
Tushar Dalvi
Deeksha Welekar
Daisy Shah
Boban Alumoodan
Jaideep Ahlawat
Kamal Batra
Avtar Singh Gullu
Gracy Singh
Priyamvada Narayanan
Anand Bhat
Ramkishan Gurjar
Rana Jaiswal
Ria Kaushal
Rose Laskar
Vyjayanthimala
Kalabhavan Mani
Sanjivan Lal
Javed Rizvi
Sonu Choudhary
Neetu Chaudhary
Mehr Hassan
Nidhi Shrivastava
Chandni
Ashok Kheny
Clive Owen
Tanya Singh
Rekha Gautam
Ravneet Kaur
Madhushree
Devika Mukherjee
Bipin Panigrahi
T.N. Sharma
Tarun Bose
David Atkins
Payal Rohatgi
Jasmine Kaur
Kanishka Singh Deo
Anupama
Gunjlal
Purabi
Ashok G.
Hemant N Mishra
Anand Dasani
Manju Dey
Aamna Sharif
Sapna Ji
Dhruv Malik
Kirti Shetty
Desari Arun Kumar
Maruti
Aspi Irani
Chandan Kumar
Barkha Singh
Bibbo
Rajiv S. Ruia
Paris Keswani
Adil Hussain
Kishor Arora
Dharmendra Singh
R.D. Mallik
Kamal Sadanah
Prateek Bansiwar
Polash Ranjan Bhoumik
Makrand Shukla
Sharon Lamare
Asha Negi
Anokhi Dalvi
Khalid Sayed
Chayan Sarkar
Manoj Agrawal
Bijulal
Ajay Kumar Nain
Gunjan Malhotra
Shagufta Ali
Shalini Arora
Zahur Qadir
Chandan Sanyal
Suraj Prakash
Rudranil Ghosh
Aman Bhogal
Shabbir
Anmol Choudhary
Manpreet Singh
Pankaj Parashar
Anirudh Baboo
Fatima Sana Shaikh
Sameer Sharma
Deepak Chandra
Shradha Kaul
Tanvir Ahmad
Javed Abedi
Radhamohan Bhattacharya
Akashdeep Sabir
Karamaveer Chaudhary
Elisha Kriis
Kommineni
Udhayakumar
Mirza
Praphul Vishwakarma
Sanjoy Nag
Kanishk Kumar Jain
Sunder Dar
Sudipto Sen
Noushad
Amit Ghanshyam
Ankit Anil Sharma
Shobana
Pushpa Hans
Deeksha Seth
Ajeet Goswami
Lars Bethke
Swapan Saha
Jagraj Singh Gooman
Jatin Goswami
Rajesh Khera
Jain Rakesh
Mona Wasu
Sobhan Babu
Kartavya Sharma
Jagnoor Aneja
Preeti Daga
Murari Sinha
Gautham Vasudev Menon
Shashilal K. Nair
Pratap Singh
Ajay Mankotia
Neela
Samita Bangargi
Rajesh Nataranga
Jayesh Chawla
Sajini
Kamal Musale
Prashant Bhargava
Vinod Bhist
Ravi Chettiah
Ankita Makwana
Golshifteh Farahani
Karishma
Malay Chakrabarty
Ravi Shankar Prasad
Saurabh Kabra
Joe Rajan
Shabana Murti
